gen number,max_steps
94,8
142,10
98,8
99,8
64,5
87,8
134,10
122,9
70,5
3,3
50,5
86,8
126,9
124,9
45,5
54,5
43,5
125,9
128,9
24,5
82,8
138,11
114,9
127,9
77,7
0,2
61,5
13,5
44,5
104,9
4,3
49,5
35,5
91,8
53,5
31,5
56,5
95,8
106,9
133,10
72,5
136,10
73,5
40,5
115,9
130,10
131,10
48,5
103,9
144,10
139,11
59,5
81,8
100,8
123,9
116,9
20,5
29,5
137,11
25,5
32,5
71,5
1,2
14,5
68,5
129,10
10,5
63,5
92,8
78,7
60,5
33,5
7,4
143,10
69,5
121,9
140,10
37,5
18,5
11,5
15,5
110,9
84,8
58,5
119,9
16,5
36,5
145,10
74,7
42,5
79,8
76,7
27,5
12,5
19,5
105,9
113,9
9,5
66,5
85,8
52,5
89,8
28,5
2,2
17,5
5,3
21,5
41,5
55,5
23,5
34,5
117,9
38,5
62,5
101,8
132,10
111,9
96,8
109,9
102,8
57,5
39,5
107,9
118,9
112,9
108,9
22,5
65,5
30,5
6,3
51,5
93,8
88,8
97,8
83,8
80,8
46,5
26,5
67,5
135,10
90,8
8,5
75,7
120,9
141,10
47,5

