gen number,max_steps
94,8
142,9
98,8
99,8
64,8
87,8
134,9
122,9
70,8
3,3
50,6
86,8
126,9
124,9
45,6
54,8
43,6
125,9
128,9
24,4
82,8
138,9
114,9
127,9
77,8
0,3
61,8
13,3
44,6
104,8
4,3
49,6
35,5
91,8
53,6
31,5
56,8
95,8
106,8
133,9
72,8
136,9
73,8
40,6
115,9
130,9
131,9
48,6
103,8
144,9
139,9
59,8
81,8
100,8
123,9
116,9
20,4
29,5
137,9
25,4
32,5
71,8
148,9
146,9
1,3
14,3
68,8
129,9
10,3
63,8
147,9
92,8
78,8
60,8
33,5
7,3
143,9
150,9
69,8
121,9
140,9
37,5
18,4
11,3
15,4
110,9
84,8
58,8
119,9
16,4
36,5
145,9
74,8
42,6
79,8
76,8
27,4
12,3
19,4
105,8
113,9
9,3
66,8
85,8
52,6
89,8
28,4
149,9
2,3
17,4
5,3
21,4
41,6
55,8
23,4
34,5
117,9
38,5
62,8
101,8
132,9
111,9
96,8
109,8
102,8
57,8
39,6
107,8
118,9
112,9
108,8
22,4
65,8
30,5
6,3
51,6
93,8
88,8
97,8
83,8
80,8
46,6
26,4
67,8
135,9
90,8
8,3
75,8
120,9
141,9
47,6

